trainable parameters:1930
Epoch 54. Train Loss: 0.273219, Train Acc: 0.907592, Valid Loss: 0.297790, Valid Acc: 0.901503, 
Epoch 55. Train Loss: 0.274217, Train Acc: 0.906130, Valid Loss: 0.296966, Valid Acc: 0.902789, 
Epoch 56. Train Loss: 0.273914, Train Acc: 0.906691, Valid Loss: 0.296898, Valid Acc: 0.901800, 
Epoch 57. Train Loss: 0.273714, Train Acc: 0.906611, Valid Loss: 0.297083, Valid Acc: 0.902294, 
Epoch 58. Train Loss: 0.272834, Train Acc: 0.907792, Valid Loss: 0.297235, Valid Acc: 0.901701, 
Epoch 59. Train Loss: 0.273394, Train Acc: 0.906831, Valid Loss: 0.296494, Valid Acc: 0.902591, 
Epoch 60. Train Loss: 0.273298, Train Acc: 0.907151, Valid Loss: 0.296760, Valid Acc: 0.901701, 
Epoch 61. Train Loss: 0.272456, Train Acc: 0.906591, Valid Loss: 0.296398, Valid Acc: 0.902195, 
Epoch 62. Train Loss: 0.272903, Train Acc: 0.907412, Valid Loss: 0.297403, Valid Acc: 0.901899, 
Epoch 63. Train Loss: 0.273538, Train Acc: 0.907091, Valid Loss: 0.296815, Valid Acc: 0.901108, 
Epoch 64. Train Loss: 0.271915, Train Acc: 0.907853, Valid Loss: 0.296602, Valid Acc: 0.902591, 
Epoch 65. Train Loss: 0.272183, Train Acc: 0.907051, Valid Loss: 0.297345, Valid Acc: 0.900910, 
Epoch 66. Train Loss: 0.273918, Train Acc: 0.906170, Valid Loss: 0.296190, Valid Acc: 0.902690, 
Epoch 67. Train Loss: 0.272494, Train Acc: 0.906931, Valid Loss: 0.296386, Valid Acc: 0.902097, 
Epoch 68. Train Loss: 0.272212, Train Acc: 0.908213, Valid Loss: 0.296616, Valid Acc: 0.901503, 
Epoch 69. Train Loss: 0.271641, Train Acc: 0.907412, Valid Loss: 0.296438, Valid Acc: 0.902097, 
Epoch 70. Train Loss: 0.271771, Train Acc: 0.906891, Valid Loss: 0.296357, Valid Acc: 0.902195, 
Epoch 71. Train Loss: 0.271467, Train Acc: 0.907332, Valid Loss: 0.296113, Valid Acc: 0.901800, 
